lensq: 0.00 : 0.00 | normalized.
lensq: 0.93 : 1.84 | normalized.
lensq: 1.10 : 2.01 | normalized.
lensq: 0.97 : 1.75 | normalized.
lensq: 1.86 : 3.23 | normalized.
lensq: 0.93 : 2.05 | normalized.
lensq: 1.43 : 1.86 | normalized.
lensq: 1.65 : 1.97 | normalized.
lensq: 2.53 : 3.69 | normalized.
lensq: 2.53 : 3.87 | normalized.
lensq: 2.22 : 3.34 | normalized.
lensq: 2.03 : 2.64 | normalized.
lensq: 1.50 : 2.14 | normalized.
lensq: 2.52 : 3.98 | normalized.
lensq: 1.87 : 1.92 | normalized.
lensq: 1.63 : 2.48 | normalized.
lensq: 2.37 : 4.05 | normalized.
lensq: 2.33 : 3.77 | normalized.
lensq: 1.54 : 3.10 | normalized.
lensq: 1.80 : 2.26 | normalized.
lensq: 1.72 : 2.00 | normalized.
lensq: 2.42 : 3.93 | normalized.
lensq: 2.68 : 3.86 | normalized.
lensq: 2.51 : 4.02 | normalized.
lensq: 1.68 : 2.35 | normalized.
lensq: 1.99 : 2.43 | normalized.
lensq: 3.06 : 3.08 | normalized.
lensq: 1.64 : 2.09 | normalized.
lensq: 1.96 : 2.49 | normalized.
lensq: 2.40 : 2.06 | normalized.
lensq: 1.92 : 4.22 | normalized.
lensq: 2.36 : 2.71 | normalized.
lensq: 2.81 : 2.44 | normalized.
lensq: 1.73 : 1.90 | normalized.
lensq: 1.46 : 2.01 | normalized.
lensq: 2.32 : 3.04 | normalized.
lensq: 1.74 : 4.04 | normalized.
lensq: 1.49 : 2.28 | normalized.
lensq: 2.51 : 2.44 | normalized.
lensq: 2.55 : 2.79 | normalized.
lensq: 2.47 : 3.46 | normalized.
lensq: 2.34 : 3.26 | normalized.
lensq: 1.36 : 2.23 | normalized.
lensq: 2.12 : 2.41 | normalized.
lensq: 2.44 : 2.77 | normalized.
lensq: 2.19 : 3.10 | normalized.
lensq: 2.04 : 3.02 | normalized.
lensq: 2.32 : 2.57 | normalized.
lensq: 1.87 : 2.36 | normalized.
lensq: 1.90 : 3.92 | normalized.
lensq: 2.21 : 2.37 | normalized.
lensq: 2.58 : 3.01 | normalized.
lensq: 2.27 : 2.95 | normalized.
lensq: 4.24 : 3.07 | normalized.
lensq: 2.54 : 3.77 | normalized.
lensq: 2.48 : 2.14 | normalized.
lensq: 2.36 : 2.58 | normalized.
lensq: 2.43 : 3.93 | normalized.
lensq: 3.01 : 3.80 | normalized.
lensq: 3.18 : 3.72 | normalized.
lensq: 2.27 : 3.15 | normalized.
lensq: 2.07 : 3.82 | normalized.
lensq: 2.23 : 2.66 | normalized.
lensq: 3.79 : 3.75 | normalized.
lensq: 5.27 : 4.90 | normalized.
lensq: 2.36 : 2.59 | normalized.
lensq: 2.25 : 2.63 | normalized.
lensq: 1.65 : 2.43 | normalized.
lensq: 3.01 : 4.00 | normalized.
lensq: 2.88 : 2.78 | normalized.
lensq: 2.95 : 4.24 | normalized.
lensq: 3.85 : 4.45 | normalized.
lensq: 4.31 : 5.24 | normalized.
lensq: 6.19 : 6.80 | normalized.
lensq: 2.62 : 3.09 | normalized.
lensq: 5.30 : 6.08 | normalized.
lensq: 4.12 : 4.17 | normalized.
lensq: 1.40 : 2.25 | normalized.
lensq: 3.48 : 4.24 | normalized.
lensq: 2.66 : 3.72 | normalized.
lensq: 2.87 : 3.98 | normalized.
lensq: 3.60 : 5.36 | normalized.
lensq: 3.39 : 5.33 | normalized.
lensq: 3.24 : 4.34 | normalized.
lensq: 4.78 : 5.80 | normalized.
lensq: 2.94 : 4.09 | normalized.
lensq: 3.88 : 5.52 | normalized.
lensq: 2.44 : 4.08 | normalized.
lensq: 4.30 : 3.64 | normalized.
lensq: 2.51 : 3.05 | normalized.
lensq: 3.62 : 3.26 | normalized.
lensq: 4.61 : 5.83 | normalized.
lensq: 5.07 : 5.53 | normalized.
lensq: 2.98 : 2.84 | normalized.
lensq: 4.63 : 5.54 | normalized.
lensq: 2.16 : 2.45 | normalized.
lensq: 3.86 : 4.60 | normalized.
lensq: 4.19 : 2.87 | normalized.
lensq: 3.42 : 3.28 | normalized.
lensq: 1.81 : 2.35 | normalized.
lensq: 2.78 : 3.27 | normalized.
lensq: 3.54 : 7.13 | normalized.
lensq: 2.02 : 2.95 | normalized.
lensq: 5.35 : 5.57 | normalized.
lensq: 2.67 : 3.10 | normalized.
lensq: 3.33 : 2.89 | normalized.
lensq: 2.04 : 2.55 | normalized.
lensq: 3.60 : 5.57 | normalized.
lensq: 3.06 : 3.50 | normalized.
lensq: 3.18 : 3.98 | normalized.
lensq: 2.27 : 2.85 | normalized.
lensq: 3.94 : 6.60 | normalized.
lensq: 4.97 : 4.64 | normalized.
lensq: 3.88 : 4.00 | normalized.
lensq: 4.52 : 5.36 | normalized.
lensq: 2.58 : 2.49 | normalized.
lensq: 5.67 : 7.93 | normalized.
lensq: 2.06 : 3.89 | normalized.
lensq: 2.44 : 3.00 | normalized.
lensq: 2.90 : 4.98 | normalized.
lensq: 3.03 : 3.34 | normalized.
lensq: 4.68 : 5.23 | normalized.
lensq: 6.05 : 6.99 | normalized.
lensq: 4.69 : 6.39 | normalized.
lensq: 3.31 : 3.34 | normalized.
lensq: 2.71 : 2.73 | normalized.
lensq: 8.34 : 9.15 | normalized.
lensq: 8.02 : 9.67 | normalized.
lensq: 2.76 : 3.51 | normalized.
lensq: 3.77 : 5.15 | normalized.
lensq: 4.58 : 6.97 | normalized.
lensq: 4.55 : 5.55 | normalized.
lensq: 3.14 : 3.02 | normalized.
lensq: 3.25 : 2.93 | normalized.
lensq: 2.86 : 3.39 | normalized.
lensq: 3.75 : 5.87 | normalized.
lensq: 3.14 : 2.37 | normalized.
lensq: 4.65 : 6.57 | normalized.
lensq: 3.99 : 3.91 | normalized.
lensq: 2.18 : 2.49 | normalized.
lensq: 3.61 : 3.49 | normalized.
lensq: 6.38 : 6.84 | normalized.
lensq: 1.81 : 2.86 | normalized.
lensq: 2.86 : 3.71 | normalized.
lensq: 3.89 : 4.56 | normalized.
lensq: 5.05 : 6.81 | normalized.
lensq: 4.64 : 7.45 | normalized.
lensq: 5.91 : 6.90 | normalized.
lensq: 3.06 : 3.32 | normalized.
lensq: 2.64 : 3.83 | normalized.
lensq: 6.14 : 6.16 | normalized.
lensq: 5.63 : 7.15 | normalized.
lensq: 2.78 : 3.43 | normalized.
lensq: 4.87 : 4.69 | normalized.
lensq: 3.50 : 3.89 | normalized.
lensq: 7.48 : 6.01 | normalized.
lensq: 4.78 : 5.22 | normalized.
lensq: 8.09 : 8.72 | normalized.
lensq: 5.00 : 5.78 | normalized.
lensq: 7.68 : 6.99 | normalized.
lensq: 3.39 : 3.77 | normalized.
lensq: 4.29 : 4.28 | normalized.
lensq: 3.15 : 3.40 | normalized.
lensq: 2.82 : 3.30 | normalized.
lensq: 3.56 : 5.24 | normalized.
lensq: 7.75 : 8.87 | normalized.
lensq: 6.76 : 6.53 | normalized.
lensq: 2.30 : 2.71 | normalized.
lensq: 3.43 : 4.62 | normalized.
lensq: 4.18 : 6.68 | normalized.
lensq: 7.94 : 10.93 | normalized.
lensq: 6.54 : 6.45 | normalized.
lensq: 5.18 : 7.33 | normalized.
lensq: 4.25 : 4.34 | normalized.
lensq: 3.38 : 4.33 | normalized.
lensq: 3.85 : 5.86 | normalized.
lensq: 4.83 : 4.21 | normalized.
lensq: 4.23 : 4.77 | normalized.
lensq: 4.68 : 4.92 | normalized.
lensq: 10.78 : 7.86 | normalized.
lensq: 5.08 : 7.91 | normalized.
lensq: 5.74 : 4.98 | normalized.
lensq: 4.56 : 4.62 | normalized.
lensq: 7.92 : 6.62 | normalized.
lensq: 6.83 : 5.46 | normalized.
lensq: 3.78 : 4.82 | normalized.
lensq: 4.41 : 6.89 | normalized.
lensq: 5.45 : 7.68 | normalized.
lensq: 6.88 : 6.59 | normalized.
lensq: 5.74 : 5.84 | normalized.
lensq: 6.70 : 6.54 | normalized.
lensq: 2.31 : 3.24 | normalized.
lensq: 3.60 : 4.81 | normalized.
lensq: 4.97 : 6.97 | normalized.
lensq: 7.34 : 6.59 | normalized.
lensq: 4.99 : 6.46 | normalized.
lensq: 5.45 : 6.35 | normalized.
lensq: 3.79 : 4.99 | normalized.
lensq: 4.67 : 5.88 | normalized.
lensq: 3.32 : 4.52 | normalized.
lensq: 4.05 : 3.70 | normalized.
lensq: 4.80 : 6.40 | normalized.
lensq: 7.70 : 8.23 | normalized.
lensq: 4.78 : 5.53 | normalized.
lensq: 3.73 : 3.47 | normalized.
lensq: 6.81 : 9.12 | normalized.
lensq: 6.84 : 8.47 | normalized.
lensq: 6.87 : 6.15 | normalized.
lensq: 5.34 : 7.02 | normalized.
lensq: 7.32 : 7.14 | normalized.
lensq: 4.36 : 7.18 | normalized.
lensq: 3.52 : 4.62 | normalized.
lensq: 4.85 : 4.55 | normalized.
lensq: 6.71 : 8.47 | normalized.
lensq: 6.88 : 8.31 | normalized.
lensq: 3.06 : 3.07 | normalized.
lensq: 4.09 : 5.08 | normalized.
lensq: 6.71 : 6.94 | normalized.
lensq: 7.22 : 11.36 | normalized.
lensq: 4.06 : 4.06 | normalized.
lensq: 2.20 : 3.37 | normalized.
lensq: 3.90 : 5.16 | normalized.
lensq: 2.85 : 4.28 | normalized.
lensq: 3.76 : 4.67 | normalized.
lensq: 5.86 : 5.52 | normalized.
lensq: 6.05 : 6.06 | normalized.
lensq: 5.94 : 5.61 | normalized.
lensq: 4.94 : 6.56 | normalized.
lensq: 3.76 : 4.62 | normalized.
lensq: 5.54 : 6.00 | normalized.
lensq: 7.54 : 9.34 | normalized.
lensq: 4.37 : 4.90 | normalized.
lensq: 7.27 : 8.94 | normalized.
lensq: 3.61 : 4.78 | normalized.
lensq: 6.21 : 4.89 | normalized.
lensq: 5.33 : 5.17 | normalized.
lensq: 7.39 : 6.67 | normalized.
lensq: 5.50 : 7.83 | normalized.
lensq: 6.35 : 8.74 | normalized.
lensq: 5.83 : 8.03 | normalized.
lensq: 6.38 : 5.33 | normalized.
lensq: 4.40 : 5.15 | normalized.
lensq: 6.75 : 6.42 | normalized.
lensq: 4.21 : 6.39 | normalized.
lensq: 4.00 : 3.72 | normalized.
lensq: 6.77 : 6.64 | normalized.
lensq: 5.83 : 5.28 | normalized.
lensq: 6.98 : 6.36 | normalized.
lensq: 6.69 : 5.73 | normalized.
lensq: 4.49 : 4.05 | normalized.
lensq: 3.77 : 5.15 | normalized.
lensq: 5.28 : 6.30 | normalized.
lensq: 6.11 : 6.38 | normalized.
lensq: 2.98 : 4.29 | normalized.
lensq: 4.95 : 5.87 | normalized.
lensq: 7.19 : 8.29 | normalized.
lensq: 4.66 : 3.70 | normalized.
