lensq: 0.00 : 0.00 | normalized.
lensq: 1.34 : 1.31 | normalized.
lensq: 1.48 : 1.36 | normalized.
lensq: 1.18 : 1.27 | normalized.
lensq: 2.31 : 2.62 | normalized.
lensq: 1.39 : 1.31 | normalized.
lensq: 1.56 : 1.30 | normalized.
lensq: 1.64 : 1.48 | normalized.
lensq: 2.89 : 3.10 | normalized.
lensq: 2.80 : 3.27 | normalized.
lensq: 2.42 : 2.75 | normalized.
lensq: 1.94 : 2.11 | normalized.
lensq: 1.45 : 1.70 | normalized.
lensq: 2.76 : 3.25 | normalized.
lensq: 1.40 : 1.73 | normalized.
lensq: 1.72 : 1.75 | normalized.
lensq: 2.80 : 2.98 | normalized.
lensq: 2.72 : 3.00 | normalized.
lensq: 1.94 : 2.34 | normalized.
lensq: 1.81 : 1.70 | normalized.
lensq: 1.62 : 1.69 | normalized.
lensq: 2.81 : 3.17 | normalized.
lensq: 2.81 : 3.00 | normalized.
lensq: 2.99 : 3.10 | normalized.
lensq: 1.77 : 1.56 | normalized.
lensq: 2.05 : 1.91 | normalized.
lensq: 2.72 : 2.50 | normalized.
lensq: 1.62 : 1.67 | normalized.
lensq: 1.74 : 2.10 | normalized.
lensq: 2.00 : 1.94 | normalized.
lensq: 3.16 : 2.40 | normalized.
lensq: 2.23 : 1.96 | normalized.
lensq: 2.21 : 2.49 | normalized.
lensq: 1.55 : 1.52 | normalized.
lensq: 1.60 : 1.29 | normalized.
lensq: 2.41 : 2.34 | normalized.
lensq: 2.93 : 2.41 | normalized.
lensq: 1.52 : 1.65 | normalized.
lensq: 2.13 : 2.12 | normalized.
lensq: 2.38 : 2.17 | normalized.
lensq: 2.61 : 2.51 | normalized.
lensq: 2.53 : 2.23 | normalized.
lensq: 1.62 : 1.58 | normalized.
lensq: 2.10 : 1.90 | normalized.
lensq: 2.23 : 2.36 | normalized.
lensq: 2.17 : 2.46 | normalized.
lensq: 2.13 : 2.36 | normalized.
lensq: 2.18 : 2.21 | normalized.
lensq: 1.79 : 1.94 | normalized.
lensq: 2.77 : 2.37 | normalized.
lensq: 2.26 : 1.78 | normalized.
lensq: 2.28 : 2.53 | normalized.
lensq: 2.36 : 2.26 | normalized.
lensq: 3.06 : 3.13 | normalized.
lensq: 2.63 : 2.83 | normalized.
lensq: 2.08 : 1.90 | normalized.
lensq: 2.15 : 2.14 | normalized.
lensq: 2.73 : 2.65 | normalized.
lensq: 3.02 : 3.24 | normalized.
lensq: 3.01 : 3.13 | normalized.
lensq: 2.65 : 2.07 | normalized.
lensq: 2.48 : 2.72 | normalized.
lensq: 1.83 : 2.34 | normalized.
lensq: 3.16 : 3.74 | normalized.
lensq: 4.59 : 4.76 | normalized.
lensq: 2.01 : 2.24 | normalized.
lensq: 2.21 : 2.03 | normalized.
lensq: 1.82 : 1.61 | normalized.
lensq: 2.95 : 3.06 | normalized.
lensq: 2.24 : 2.63 | normalized.
lensq: 3.03 : 3.30 | normalized.
lensq: 4.15 : 3.12 | normalized.
lensq: 4.74 : 3.62 | normalized.
lensq: 6.09 : 6.45 | normalized.
lensq: 2.29 : 2.81 | normalized.
lensq: 4.71 : 5.24 | normalized.
lensq: 3.27 : 3.69 | normalized.
lensq: 1.53 : 1.60 | normalized.
lensq: 3.24 : 3.53 | normalized.
lensq: 2.61 : 3.03 | normalized.
lensq: 2.91 : 2.96 | normalized.
lensq: 4.18 : 4.20 | normalized.
lensq: 4.01 : 3.66 | normalized.
lensq: 3.53 : 3.34 | normalized.
lensq: 4.69 : 5.03 | normalized.
lensq: 2.86 : 3.51 | normalized.
lensq: 4.81 : 3.81 | normalized.
lensq: 2.81 : 2.71 | normalized.
lensq: 3.47 : 3.20 | normalized.
lensq: 2.75 : 2.29 | normalized.
lensq: 3.08 : 2.98 | normalized.
lensq: 5.36 : 4.26 | normalized.
lensq: 5.14 : 4.21 | normalized.
lensq: 2.47 : 2.75 | normalized.
lensq: 4.48 : 4.51 | normalized.
lensq: 1.99 : 2.20 | normalized.
lensq: 3.69 : 3.79 | normalized.
lensq: 2.96 : 3.44 | normalized.
lensq: 3.27 : 2.47 | normalized.
lensq: 1.77 : 1.99 | normalized.
lensq: 2.72 : 2.58 | normalized.
lensq: 5.40 : 4.21 | normalized.
lensq: 2.12 : 2.25 | normalized.
lensq: 5.30 : 4.12 | normalized.
lensq: 2.71 : 2.45 | normalized.
lensq: 2.64 : 2.65 | normalized.
lensq: 1.92 : 2.08 | normalized.
lensq: 3.82 : 4.27 | normalized.
lensq: 2.86 : 2.92 | normalized.
lensq: 3.27 : 2.91 | normalized.
lensq: 2.02 : 2.28 | normalized.
lensq: 4.65 : 4.90 | normalized.
lensq: 4.54 : 3.77 | normalized.
lensq: 3.95 : 3.09 | normalized.
lensq: 4.33 : 4.66 | normalized.
lensq: 2.43 : 2.27 | normalized.
lensq: 5.73 : 6.54 | normalized.
lensq: 2.55 : 2.70 | normalized.
lensq: 2.32 : 2.36 | normalized.
lensq: 4.14 : 3.29 | normalized.
lensq: 2.80 : 2.77 | normalized.
lensq: 4.66 : 4.37 | normalized.
lensq: 5.54 : 6.04 | normalized.
lensq: 5.45 : 4.76 | normalized.
lensq: 2.87 : 2.92 | normalized.
lensq: 1.90 : 2.86 | normalized.
lensq: 8.20 : 7.67 | normalized.
lensq: 6.78 : 8.16 | normalized.
lensq: 2.55 : 3.18 | normalized.
lensq: 4.11 : 3.90 | normalized.
lensq: 4.67 : 5.82 | normalized.
lensq: 4.75 : 4.37 | normalized.
lensq: 2.89 : 2.65 | normalized.
lensq: 2.72 : 2.85 | normalized.
lensq: 3.09 : 2.46 | normalized.
lensq: 4.06 : 4.64 | normalized.
lensq: 2.53 : 2.16 | normalized.
lensq: 4.60 : 5.46 | normalized.
lensq: 4.10 : 3.05 | normalized.
lensq: 1.91 : 2.16 | normalized.
lensq: 3.00 : 3.19 | normalized.
lensq: 6.53 : 5.71 | normalized.
lensq: 1.89 : 2.18 | normalized.
lensq: 3.16 : 2.48 | normalized.
lensq: 3.61 : 3.46 | normalized.
lensq: 4.69 : 5.77 | normalized.
lensq: 4.91 : 5.65 | normalized.
lensq: 5.63 : 5.72 | normalized.
lensq: 2.85 : 2.96 | normalized.
lensq: 2.50 : 3.50 | normalized.
lensq: 5.81 : 5.09 | normalized.
lensq: 6.44 : 5.07 | normalized.
lensq: 2.75 : 2.91 | normalized.
lensq: 4.25 : 4.36 | normalized.
lensq: 3.08 : 3.56 | normalized.
lensq: 6.17 : 5.54 | normalized.
lensq: 4.75 : 4.27 | normalized.
lensq: 7.77 : 6.84 | normalized.
lensq: 4.35 : 5.17 | normalized.
lensq: 6.43 : 6.61 | normalized.
lensq: 3.06 : 3.28 | normalized.
lensq: 3.89 : 3.71 | normalized.
lensq: 2.59 : 3.08 | normalized.
lensq: 2.60 : 2.76 | normalized.
lensq: 3.86 : 3.78 | normalized.
lensq: 7.74 : 6.26 | normalized.
lensq: 6.20 : 6.25 | normalized.
lensq: 2.25 : 2.11 | normalized.
lensq: 3.33 : 3.87 | normalized.
lensq: 4.88 : 5.23 | normalized.
lensq: 7.75 : 9.49 | normalized.
