lensq: 0.00 : 0.00 | normalized.
lensq: 1.50 : 1.46 | normalized.
lensq: 1.60 : 1.68 | normalized.
lensq: 1.44 : 1.46 | normalized.
lensq: 2.41 : 2.92 | normalized.
lensq: 1.65 : 1.49 | normalized.
lensq: 1.71 : 1.54 | normalized.
lensq: 2.00 : 1.64 | normalized.
lensq: 3.30 : 3.52 | normalized.
lensq: 3.03 : 3.39 | normalized.
lensq: 2.76 : 3.19 | normalized.
lensq: 2.19 : 2.56 | normalized.
lensq: 1.74 : 2.06 | normalized.
lensq: 3.00 : 3.34 | normalized.
lensq: 1.98 : 1.81 | normalized.
lensq: 1.98 : 2.21 | normalized.
lensq: 3.04 : 3.56 | normalized.
lensq: 3.07 : 3.37 | normalized.
lensq: 2.33 : 2.62 | normalized.
lensq: 2.18 : 2.05 | normalized.
lensq: 1.84 : 1.89 | normalized.
lensq: 3.08 : 3.57 | normalized.
lensq: 3.05 : 3.60 | normalized.
lensq: 3.15 : 3.69 | normalized.
lensq: 2.08 : 2.11 | normalized.
lensq: 2.41 : 2.35 | normalized.
lensq: 3.04 : 3.24 | normalized.
lensq: 1.90 : 1.95 | normalized.
lensq: 2.47 : 2.21 | normalized.
lensq: 2.18 : 2.38 | normalized.
lensq: 3.06 : 3.18 | normalized.
lensq: 2.56 : 2.76 | normalized.
lensq: 2.66 : 2.39 | normalized.
lensq: 1.88 : 1.74 | normalized.
lensq: 1.91 : 1.51 | normalized.
lensq: 2.81 : 2.78 | normalized.
lensq: 2.92 : 3.17 | normalized.
lensq: 1.88 : 1.95 | normalized.
lensq: 2.32 : 2.56 | normalized.
lensq: 2.60 : 2.53 | normalized.
lensq: 3.02 : 2.86 | normalized.
lensq: 3.07 : 2.66 | normalized.
lensq: 1.90 : 1.73 | normalized.
lensq: 2.46 : 2.46 | normalized.
lensq: 2.60 : 2.56 | normalized.
lensq: 2.68 : 2.66 | normalized.
lensq: 2.44 : 2.61 | normalized.
lensq: 2.38 : 2.40 | normalized.
lensq: 2.21 : 2.07 | normalized.
lensq: 3.18 : 2.59 | normalized.
lensq: 2.17 : 2.46 | normalized.
lensq: 2.53 : 3.02 | normalized.
lensq: 2.50 : 2.88 | normalized.
lensq: 3.48 : 3.65 | normalized.
lensq: 3.22 : 3.00 | normalized.
